year,company,provider,e_score,s_score,g_score
2000,Airbus SE,MSCI,0.54,0.55,0.57
2001,Airbus SE,MSCI,0.46,0.46,0.47
2002,Airbus SE,MSCI,0.53,0.38,0.48
2003,Airbus SE,MSCI,0.49,0.44,0.42
2004,Airbus SE,MSCI,0.48,0.51,0.52
2005,Airbus SE,MSCI,0.58,0.49,0.48
2006,Airbus SE,MSCI,0.52,0.47,0.55
2007,Airbus SE,MSCI,0.43,0.48,0.58
2008,Airbus SE,MSCI,0.55,0.49,0.52
2009,Airbus SE,MSCI,0.45,0.44,0.43
2010,Airbus SE,MSCI,0.38,0.57,0.38
2011,Airbus SE,MSCI,0.51,0.42,0.5
2012,Airbus SE,MSCI,0.52,0.5,0.57
2013,Airbus SE,MSCI,0.52,0.42,0.39
2014,Airbus SE,MSCI,0.53,0.54,0.56
2015,Airbus SE,MSCI,0.44,0.51,0.49
2016,Airbus SE,MSCI,0.51,0.44,0.49
2017,Airbus SE,MSCI,0.55,0.54,0.56
2018,Airbus SE,MSCI,0.58,0.49,0.55
2019,Airbus SE,MSCI,0.47,0.38,0.52
2020,Airbus SE,MSCI,0.51,0.55,0.48
2000,Airbus SE,Sustainalytics,0.32,0.33,0.32
2001,Airbus SE,Sustainalytics,0.35,0.43,0.43
2002,Airbus SE,Sustainalytics,0.35,0.33,0.39
2003,Airbus SE,Sustainalytics,0.43,0.3,0.34
2004,Airbus SE,Sustainalytics,0.35,0.36,0.42
2005,Airbus SE,Sustainalytics,0.35,0.44,0.39
2006,Airbus SE,Sustainalytics,0.37,0.4,0.25
2007,Airbus SE,Sustainalytics,0.28,0.38,0.4
2008,Airbus SE,Sustainalytics,0.43,0.38,0.31
2009,Airbus SE,Sustainalytics,0.24,0.36,0.34
2010,Airbus SE,Sustainalytics,0.31,0.43,0.27
2011,Airbus SE,Sustainalytics,0.33,0.35,0.31
2012,Airbus SE,Sustainalytics,0.38,0.34,0.43
2013,Airbus SE,Sustainalytics,0.26,0.36,0.25
2014,Airbus SE,Sustainalytics,0.36,0.34,0.27
2015,Airbus SE,Sustainalytics,0.42,0.43,0.37
2016,Airbus SE,Sustainalytics,0.34,0.38,0.24
2017,Airbus SE,Sustainalytics,0.26,0.35,0.29
2018,Airbus SE,Sustainalytics,0.3,0.32,0.39
2019,Airbus SE,Sustainalytics,0.44,0.35,0.4
2020,Airbus SE,Sustainalytics,0.38,0.4,0.43
2000,Airbus SE,Bloomberg,0.41,0.31,0.23
2001,Airbus SE,Bloomberg,0.25,0.38,0.31
2002,Airbus SE,Bloomberg,0.43,0.23,0.25
2003,Airbus SE,Bloomberg,0.29,0.43,0.38
2004,Airbus SE,Bloomberg,0.38,0.3,0.29
2005,Airbus SE,Bloomberg,0.25,0.33,0.4
2006,Airbus SE,Bloomberg,0.37,0.31,0.34
2007,Airbus SE,Bloomberg,0.28,0.37,0.34
2008,Airbus SE,Bloomberg,0.37,0.33,0.29
2009,Airbus SE,Bloomberg,0.3,0.33,0.28
2010,Airbus SE,Bloomberg,0.32,0.28,0.32
2011,Airbus SE,Bloomberg,0.43,0.35,0.28
2012,Airbus SE,Bloomberg,0.25,0.23,0.35
2013,Airbus SE,Bloomberg,0.4,0.34,0.35
2014,Airbus SE,Bloomberg,0.37,0.3,0.26
2015,Airbus SE,Bloomberg,0.23,0.34,0.31
2016,Airbus SE,Bloomberg,0.4,0.41,0.34
2017,Airbus SE,Bloomberg,0.28,0.33,0.34
2018,Airbus SE,Bloomberg,0.27,0.25,0.41
2019,Airbus SE,Bloomberg,0.38,0.36,0.39
2020,Airbus SE,Bloomberg,0.41,0.29,0.24
2000,Airbus SE,ISS ESG,0.43,0.58,0.59
2001,Airbus SE,ISS ESG,0.41,0.43,0.4
2002,Airbus SE,ISS ESG,0.56,0.54,0.49
2003,Airbus SE,ISS ESG,0.53,0.56,0.55
2004,Airbus SE,ISS ESG,0.41,0.51,0.39
2005,Airbus SE,ISS ESG,0.49,0.39,0.57
2006,Airbus SE,ISS ESG,0.45,0.52,0.44
2007,Airbus SE,ISS ESG,0.51,0.42,0.49
2008,Airbus SE,ISS ESG,0.58,0.39,0.49
2009,Airbus SE,ISS ESG,0.54,0.46,0.46
2010,Airbus SE,ISS ESG,0.57,0.45,0.42
2011,Airbus SE,ISS ESG,0.47,0.58,0.47
2012,Airbus SE,ISS ESG,0.46,0.53,0.47
2013,Airbus SE,ISS ESG,0.54,0.45,0.52
2014,Airbus SE,ISS ESG,0.43,0.53,0.59
2015,Airbus SE,ISS ESG,0.58,0.46,0.49
2016,Airbus SE,ISS ESG,0.47,0.55,0.42
2017,Airbus SE,ISS ESG,0.55,0.58,0.48
2018,Airbus SE,ISS ESG,0.47,0.52,0.46
2019,Airbus SE,ISS ESG,0.41,0.55,0.51
2020,Airbus SE,ISS ESG,0.52,0.42,0.56
2000,Airbus SE,V.E,0.54,0.55,0.56
2001,Airbus SE,V.E,0.42,0.44,0.46
2002,Airbus SE,V.E,0.49,0.53,0.57
2003,Airbus SE,V.E,0.49,0.47,0.42
2004,Airbus SE,V.E,0.43,0.52,0.48
2005,Airbus SE,V.E,0.44,0.37,0.53
2006,Airbus SE,V.E,0.44,0.39,0.46
2007,Airbus SE,V.E,0.37,0.52,0.44
2008,Airbus SE,V.E,0.5,0.38,0.4
2009,Airbus SE,V.E,0.46,0.55,0.48
2010,Airbus SE,V.E,0.37,0.46,0.51
2011,Airbus SE,V.E,0.38,0.43,0.54
2012,Airbus SE,V.E,0.48,0.44,0.55
2013,Airbus SE,V.E,0.52,0.37,0.37
2014,Airbus SE,V.E,0.39,0.55,0.48
2015,Airbus SE,V.E,0.38,0.44,0.52
2016,Airbus SE,V.E,0.4,0.42,0.53
2017,Airbus SE,V.E,0.41,0.57,0.43
2018,Airbus SE,V.E,0.41,0.47,0.56
2019,Airbus SE,V.E,0.38,0.38,0.47
2020,Airbus SE,V.E,0.54,0.39,0.41
2000,Airbus SE,Refinitiv,0.38,0.52,0.36
2001,Airbus SE,Refinitiv,0.53,0.39,0.4
2002,Airbus SE,Refinitiv,0.47,0.4,0.49
2003,Airbus SE,Refinitiv,0.53,0.48,0.53
2004,Airbus SE,Refinitiv,0.43,0.33,0.51
2005,Airbus SE,Refinitiv,0.51,0.39,0.44
2006,Airbus SE,Refinitiv,0.5,0.46,0.37
2007,Airbus SE,Refinitiv,0.51,0.52,0.35
2008,Airbus SE,Refinitiv,0.53,0.5,0.34
2009,Airbus SE,Refinitiv,0.48,0.48,0.48
2010,Airbus SE,Refinitiv,0.46,0.53,0.39
2011,Airbus SE,Refinitiv,0.42,0.51,0.4
2012,Airbus SE,Refinitiv,0.34,0.34,0.38
2013,Airbus SE,Refinitiv,0.4,0.47,0.36
2014,Airbus SE,Refinitiv,0.48,0.45,0.43
2015,Airbus SE,Refinitiv,0.37,0.33,0.49
2016,Airbus SE,Refinitiv,0.36,0.52,0.5
2017,Airbus SE,Refinitiv,0.47,0.44,0.47
2018,Airbus SE,Refinitiv,0.51,0.36,0.45
2019,Airbus SE,Refinitiv,0.33,0.4,0.34
2020,Airbus SE,Refinitiv,0.39,0.35,0.38
2000,Airbus SE,CDP,0.39,0.42,0.32
2001,Airbus SE,CDP,0.41,0.31,0.41
2002,Airbus SE,CDP,0.27,0.45,0.33
2003,Airbus SE,CDP,0.39,0.47,0.3
2004,Airbus SE,CDP,0.4,0.33,0.45
2005,Airbus SE,CDP,0.41,0.3,0.31
2006,Airbus SE,CDP,0.43,0.3,0.3
2007,Airbus SE,CDP,0.45,0.27,0.35
2008,Airbus SE,CDP,0.43,0.47,0.39
2009,Airbus SE,CDP,0.33,0.45,0.34
2010,Airbus SE,CDP,0.32,0.37,0.46
2011,Airbus SE,CDP,0.47,0.44,0.37
2012,Airbus SE,CDP,0.31,0.44,0.36
2013,Airbus SE,CDP,0.44,0.31,0.4
2014,Airbus SE,CDP,0.34,0.31,0.38
2015,Airbus SE,CDP,0.47,0.31,0.41
2016,Airbus SE,CDP,0.3,0.34,0.32
2017,Airbus SE,CDP,0.4,0.33,0.4
2018,Airbus SE,CDP,0.35,0.46,0.47
2019,Airbus SE,CDP,0.44,0.43,0.44
2020,Airbus SE,CDP,0.45,0.43,0.46
2000,Airbus SE,Arabesque,0.32,0.47,0.32
